feature,importance
rib_pain,0.051004905
hurts_to_breath,0.044983454
elbow_swelling,0.043988243
foot_or_toe_swelling,0.039088756
sneezing,0.03509303
irregular_heartbeat,0.034700487
seizures,0.031990122
sweating,0.030539244
abusing_alcohol,0.030300384
fluid_retention,0.02837571
frontal_headache,0.028140243
restlessness,0.027510757
double_vision,0.027181057
toothache,0.02635288
pain_in_gums,0.025478473
frequent_menstruation,0.023559438
warts,0.021540262
weight_gain,0.021434678
low_self_esteem,0.02143207
lip_swelling,0.02113388
